Date & Time Stamp	Mast - 82m Wind Direction Mean	Mast - 80m Wind Speed Mean	Mast - 80m Wind Speed Std Dev	Mast - 64m Wind Speed Mean	Mast - 35.0m Wind Speed Mean	Pressure (mBar)	Relative humidity (%)	Temperature (C)	LiDAR - 132.5m Wind Speed Mean	LiDAR - 127.5m Wind Speed Mean	LiDAR - 117.5m Wind Speed Mean	LiDAR - 107.5m Wind Speed Mean	LiDAR - 97.5m Wind Speed Mean	LiDAR - 87.5m Wind Speed Mean	LiDAR - 77.5m Wind Speed Mean	LiDAR - 67.5m Wind Speed Mean	LiDAR - 57.5m Wind Speed Mean	LiDAR - 42.5m Wind Speed Mean	Power mean (kW)	airDensity	turbulenceIntensity	twoHeightWindShearExponent	bin	siteCorrectedWindSpeed	normalisedWindSpeed	specificEnergyProduction	powerDeviation
2011-10-07 12:50:00	13.7263	0.9739	0.3649	0.9642	13.4753	990.0000	66.8400	11.0100	15.9300	15.8100	15.6900	15.5600	15.3600	15.1800	15.0100	14.8500	14.6000	14.0900	2004.0621	1.2104	0.3747	0.0446	1.0000	0.9739	0.9700	0.0000	
2011-10-07 13:00:00	13.6027	0.9830	0.3567	0.9770	14.0702	990.0000	66.5500	10.9900	15.6000	15.4400	15.3500	15.2100	15.0500	14.9200	14.7700	14.5500	14.3300	14.1700	2003.8998	1.2105	0.3628	0.0273	1.0000	0.9830	0.9791	0.0000	
2011-10-07 13:10:00	13.7125	1.0270	0.3608	1.0178	14.3479	990.0000	65.6800	11.0800	17.8600	17.7900	17.5600	17.3400	17.0200	16.6200	16.3000	16.0600	15.7300	15.2000	2004.7703	1.2102	0.3513	0.0401	1.0000	1.0270	1.0228	0.0000	
2011-10-07 13:20:00	13.7079	0.9601	0.3786	0.9546	13.3464	990.0000	65.5100	11.1200	14.9500	14.8100	14.6200	14.5200	14.5000	14.5200	14.4900	14.4100	14.2500	14.0300	1995.9475	1.2100	0.3944	0.0258	1.0000	0.9601	0.9562	0.0000	
2011-10-07 13:30:00	13.7400	0.9706	0.3654	0.9587	13.3365	991.0000	65.5200	11.2300	16.2100	16.2300	15.9600	15.6500	15.4400	15.2400	14.9500	14.6100	14.2500	13.7800	1994.9617	1.2107	0.3764	0.0554	1.0000	0.9706	0.9669	0.0000	
2011-10-07 13:40:00	13.6301	0.9239	0.3672	0.9188	12.7713	991.0000	64.4000	11.1500	14.9000	14.7600	14.5200	14.3700	14.2600	14.0600	13.8300	13.6600	13.4500	13.0500	1995.1601	1.2111	0.3974	0.0247	1.0000	0.9239	0.9204	0.0000	
2011-10-07 13:50:00	13.7263	0.9560	0.3658	0.9486	13.2869	992.0000	63.2000	11.1000	15.3600	15.2300	14.9700	14.7400	14.5500	14.3900	14.2900	14.2000	13.9900	13.5700	1996.5734	1.2127	0.3827	0.0346	1.0000	0.9560	0.9528	0.0000	
2011-10-07 14:00:00	13.9048	0.9500	0.3658	0.9431	13.4158	991.0000	63.2900	11.0100	15.4300	15.3800	15.2500	15.0400	14.8200	14.5600	14.3700	14.2000	14.0000	13.6400	1993.1600	1.2118	0.3851	0.0327	1.0000	0.9500	0.9466	0.0000	
2011-10-07 14:10:00	13.8361	0.9789	0.3759	0.9670	13.4951	991.0000	62.7600	11.0300	16.5300	16.3800	16.0700	15.8200	15.6000	15.4500	15.2600	15.0900	14.8300	14.2900	1993.6817	1.2118	0.3840	0.0549	1.0000	0.9789	0.9754	0.0000	
2011-10-07 14:30:00	13.9048	0.9509	0.3635	0.9408	12.8704	992.0000	61.2100	11.1100	14.8800	14.8000	14.6600	14.5100	14.3800	14.3000	14.1700	13.9100	13.6200	13.2000	2004.1476	1.2127	0.3823	0.0479	1.0000	0.9509	0.9478	0.0000	
2011-10-07 14:40:00	13.9460	0.9235	0.3548	0.9198	13.0985	992.0000	58.1700	11.2200	14.9300	14.7700	14.5700	14.4900	14.4600	14.4400	14.3400	14.1300	13.9200	13.6800	1994.3684	1.2124	0.3843	0.0180	1.0000	0.9235	0.9203	0.0000	
