Date & Time Stamp	Mast - 82m Wind Direction Mean	Mast - 80m Wind Speed Mean	Mast - 80m Wind Speed Std Dev	Mast - 64m Wind Speed Mean	Mast - 35.0m Wind Speed Mean	Pressure (mBar)	Relative humidity (%)	Temperature (C)
07/10/2011 12:50	294.1	15.5	2.1	15.32	13.59	990	66.84	11.01
07/10/2011 13:00	291.4	15.7	1.92	15.6	14.19	990	66.55	10.99
07/10/2011 13:10	293.8	16.66	2.01	16.49	14.47	990	65.68	11.08
07/10/2011 13:20	293.7	15.2	2.4	15.11	13.46	990	65.51	11.12
07/10/2011 13:30	294.4	15.43	2.11	15.2	13.45	991	65.52	11.23
07/10/2011 13:40	292	14.41	2.15	14.33	12.88	991	64.4	11.15
07/10/2011 13:50	294.1	15.11	2.12	14.98	13.4	992	63.2	11.1
07/10/2011 14:00	298	14.98	2.12	14.86	13.53	991	63.29	11.01
07/10/2011 14:10	296.5	15.61	2.34	15.38	13.61	991	62.76	11.03
07/10/2011 14:30	298	15	2.07	14.81	12.98	992	61.21	11.11
07/10/2011 14:40	298.9	14.4	1.88	14.35	13.21	992	58.17	11.22
07/10/2011 14:50	299.5	13.88	1.77	13.74	12.45	993	56.15	11.22
07/10/2011 15:00	300.5	13.01	1.65	12.73	11.25	993	55.76	11.13
07/10/2011 15:10	299.8	12.77	1.49	12.67	11.38	993	54.64	11.19
07/10/2011 15:20	300.6	13.34	1.68	13.13	11.65	993	54.16	11.02
07/10/2011 15:30	300	12.93	2.06	12.82	11.32	993	54.05	10.9
07/10/2011 15:40	299.5	12.14	1.62	12.03	10.13	993	52.1	10.91
07/10/2011 15:50	296.2	12.65	1.95	12.52	10.91	992	52.3	10.84
07/10/2011 16:00	298	13.02	1.56	12.82	11.19	992	51.73	10.84
07/10/2011 16:10	300.4	12.95	1.39	12.77	11.05	992	51.56	10.73
07/10/2011 16:20	300.7	12.45	1.61	12.16	10.76	992	51.34	10.55
07/10/2011 16:30	301.2	12.01	1.46	11.77	10.25	992	51.09	10.19
07/10/2011 16:40	302.6	11.75	1.45	11.52	9.96	991	51.41	9.97
07/10/2011 16:50	302.9	11.43	1.25	11.22	9.9	991	51.31	10.01
07/10/2011 17:00	301.4	10.59	1.18	10.42	8.9	992	52.3	10.04
07/10/2011 17:10	300.8	10.72	1.24	10.56	9.1	992	52.16	10.12
07/10/2011 17:20	303.6	10.7	1.15	10.49	9.14	992	52.16	10.18
07/10/2011 17:30	303.2	11.12	1.3	10.92	9.3	992	53.96	10.29
07/10/2011 17:40	302.6	11.01	1.16	10.67	8.86	992	54.61	10.39
07/10/2011 17:50	303.9	10.81	1.3	10.45	8.88	992	54.06	10.54
07/10/2011 18:00	302.8	10.84	1.29	10.55	8.98	991	53.89	10.39
07/10/2011 18:10	301.4	11.09	1.16	10.82	9.03	991	50.83	10.57
07/10/2011 18:20	301.5	10.15	1.14	9.89	8.37	992	50.87	10.67
07/10/2011 18:30	298.7	9.73	1.24	9.44	7.73	992	51.71	10.73
07/10/2011 18:40	301.7	9.78	1.2	9.65	8.16	992	51.69	11.29
07/10/2011 18:50	303.8	9.94	1.2	9.72	8.47	992	50.76	11.52
07/10/2011 19:00	308.3	9.77	1.26	9.55	8.08	992	50.56	11.31
07/10/2011 19:10	305.4	9.23	1.14	8.94	7.39	992	51.91	11.59
07/10/2011 19:20	304.5	9.66	1.3	9.34	8.44	992	52.79	11.37
07/10/2011 19:30	305.3	9.52	1.17	9.39	8.42	992	53.47	10.9
07/10/2011 19:40	303.3	9.44	1.28	9.2	7.56	992	53.98	11.29
07/10/2011 19:50	302.7	9.27	1.29	9.01	7.5	992	54.37	11.17
07/10/2011 20:00	304.1	9.06	1.29	8.83	7.63	992	54.11	10.98
07/10/2011 20:10	304	9.61	1.08	9.43	8.12	993	53.73	10.98
07/10/2011 20:20	301.4	9.72	0.98	9.56	8.14	993	53.69	11.23
07/10/2011 20:30	303.1	8	1.46	7.77	6.59	994	53.42	11.03
07/10/2011 20:40	304	8.52	1.13	8.32	7.35	994	54.32	10.76
07/10/2011 20:50	301	8.08	1.04	7.88	6.8	994	55.29	10.52
07/10/2011 21:00	300.6	7.53	0.98	7.35	6.17	994	55.79	10.52
07/10/2011 21:10	296	8.51	1.08	8.26	6.8	995	56.63	10.21
07/10/2011 21:20	300.7	9.09	1.25	8.94	7.36	995	57.69	10.63
07/10/2011 21:30	302.1	9.61	1.29	9.32	7.53	995	58.21	10.55
07/10/2011 21:40	304.5	9.62	0.87	9.4	8.3	995	58.57	10.41
07/10/2011 21:50	304	9.41	1.19	9.13	7.27	994	59.04	9.91
07/10/2011 22:00	306	9.98	0.87	9.7	7.88	995	58.67	10.32
07/10/2011 22:10	303.4	10.01	0.81	9.76	8.29	995	58.89	10.56
07/10/2011 22:20	305.7	10.01	0.74	9.7	7.84	995	61.22	10.25
07/10/2011 22:30	304.1	9.75	0.8	9.51	7.75	995	62.45	9.96
07/10/2011 22:40	301.7	9.33	1.07	9.1	7.44	996	62.83	10.02
07/10/2011 22:50	297.4	10.07	1.15	9.84	8.02	996	63.8	10.19
07/10/2011 23:00	297.7	9.77	1.13	9.48	7.98	996	64.2	10.02
07/10/2011 23:10	300.1	9.46	1.11	9.17	7.43	996	64.29	9.37
07/10/2011 23:20	299.6	9.13	0.99	8.9	7.48	996	64.52	9.6
07/10/2011 23:30	299.8	8.8	0.88	8.62	7.39	996	65.32	9.1
07/10/2011 23:40	298.3	8.11	0.94	8	6.32	996	66.22	8.94
07/10/2011 23:50	295.2	7.83	0.87	7.57	6.44	997	66.37	9.09
08/10/2011 00:00	295.4	8.51	1.2	8.21	6.34	997	66.57	9.34
08/10/2011 00:10	298.9	9.17	1.23	8.96	7.22	997	66.81	9.34
08/10/2011 00:20	301.1	9.94	1.1	9.68	8.12	997	68.41	9.43
08/10/2011 00:30	303.2	8.72	0.99	8.55	7.11	996	69.86	9.41
08/10/2011 00:40	303.4	7.62	0.75	7.46	6.17	995	70.7	9.77
08/10/2011 00:50	307.5	8.15	0.86	7.91	6.34	995	71.99	10.08
08/10/2011 01:00	301.9	8.11	0.73	7.91	6.47	995	74.26	9.81
08/10/2011 01:10	303.3	8.83	0.69	8.59	6.84	995	75.3	9.46
08/10/2011 01:20	299.9	8.45	1.04	8.17	6.49	995	75.63	9.51
08/10/2011 01:30	304.7	8.36	0.88	8.08	6.22	996	75.52	9.4
08/10/2011 01:40	303.1	8.74	0.7	8.51	6.91	996	75.99	9.28
08/10/2011 01:50	303.7	8.25	0.7	7.92	6.19	996	75.43	9.49
08/10/2011 02:00	305.6	7.9	0.83	7.66	6.19	996	74.83	9.27
08/10/2011 02:10	308.2	8.2	0.99	7.93	6.07	996	74.25	8.99
08/10/2011 02:20	308.9	9.11	0.85	8.87	6.69	996	75.26	8.74
08/10/2011 02:30	310.1	8.29	0.77	8	6.25	996	77.08	8.77
08/10/2011 02:40	307.2	6.87	1.29	6.53	5.22	996	79.04	8.63
08/10/2011 02:50	306.7	8.31	1.27	8.13	6.95	996	81	8.41
08/10/2011 03:00	304.7	8.32	1.2	8.15	7.08	996	81.4	8.32
08/10/2011 03:10	303.7	9.15	1.05	8.8	7.21	997	81.5	9.09
08/10/2011 03:20	305	9.03	0.88	8.79	7.16	997	81.4	9.53
08/10/2011 03:30	302.1	9.42	1.02	9.16	7.47	997	81.2	9.7
08/10/2011 03:40	299.3	9.55	0.78	9.29	7.17	996	81.4	9.39
08/10/2011 03:50	303	10.01	0.77	9.62	7.79	996	82.5	8.72
08/10/2011 04:00	304.4	9.29	0.85	9.05	7.93	996	82.2	8.46
08/10/2011 04:10	306.9	9.77	1.06	9.35	7.51	997	82.3	8.44
08/10/2011 04:20	303.8	9.62	1.53	9.32	7.76	998	83.1	8.41
08/10/2011 04:30	307.4	9.67	1.01	9.4	7.32	997	84.7	8.59
